Gene,log2FC,p-value,adj_p-value
CYP4F11,1.4171472099082913,0.003310804516340793,0.023749174516333175
PTPRO,1.734967202370456,0.0032772485446862405,0.023605608384620246
SLC7A5,2.043417725995278,0.0005056248483474348,0.006143720107825736
ETV4,3.8977804831150915,7.284783672559363e-07,0.00019159549237079818
SLC12A2,1.9294195205356859,5.040361095449435e-06,0.00041579041255352013
TOMM34,2.0697879490442,9.597493020881007e-05,0.0020255311759487236
RANBP1,1.321683970867483,0.00023277793166282497,0.0035986854764681825
MLXIPL,2.1328229847236524,3.706791515329458e-05,0.0011214903040218838
TIMM8A,1.332251782638005,0.0003578306930766423,0.0047827016306281845
OLR1,2.239610259214878,0.004986842406984009,0.03248369461773235
ASCL2,4.40864561540623,5.0951842020657315e-06,0.00041705465108226404
CEL,3.009740594387099,0.0013087344409081865,0.012047081484897037
CBX4,1.4019176046741044,0.0006750931709339952,0.007599476323978738
TACC3,1.5677472198595983,0.00013580401770935897,0.002529020499106034
RFC4,1.3284626825600894,6.680621291038974e-05,0.0016068492075644767
CLDN1,3.9271216846436827,1.4563873605749014e-06,0.00023196211565586916
NFE2L3,3.2891183251286273,2.386632179712184e-07,0.00011350123630880642
EEF1E1,1.6557721581748464,1.4098469107993217e-05,0.0007111039321795278
CDC25C,1.310405244389719,1.9993510418033002e-06,0.0002638893456300131
SLC27A5,1.2802178146079348,0.0007058717858393777,0.007829096834745787
PERP,1.251875562273556,0.004972640920247562,0.032411182393144444
KCNN4,2.0853754209035276,4.006837858111601e-05,0.0011647358488666186
KRT23,3.5643802865619083,0.0007776001518983506,0.008378244901933351
MMP1,4.22374522211829,2.0969011359237365e-05,0.0008329667450653952
NUSAP1,1.8602188312836887,1.750765707710528e-05,0.0007842041243593308
MRPS30,1.0579497669485758,0.001865946952143408,0.015562822960254538
EVPL,1.59180547021506,0.0012261373780225776,0.011467479694012753
ARSE,1.2715975903402001,0.0007353285898324332,0.00805428898344467
FTSJ1,1.0392771522821471,0.0007791560542891266,0.00838645135294484
C1orf112,1.4662342240266961,0.00011770365522949208,0.0022859884142044876
SMC4.1,1.1888509109690784,0.00021314674734930405,0.0033793040619539056
PRC1,1.9637863409495468,2.59784469857033e-06,0.00029815915404569687
FAM64A,1.6203312664020237,3.4327441237523265e-06,0.00035190626410389145
GRM8,2.959509108248504,0.0004981850977271333,0.0060813138114460125
ACSL6,1.2711027543247984,0.00039988545418164764,0.005149256720370753
RNF39,1.5239277544578353,0.00024488290312651317,0.0037336267457256742
FGFR4,1.7713912942395624,1.676142583447216e-05,0.0007656084104038916
SLC29A2,1.8542437012396238,0.0003638421023960463,0.0048245963789436755
TSPAN6,1.0282579972825705,0.0063731711707228295,0.038845670126991756
MELK,1.7551754034013356,3.6990060949202335e-06,0.00035832848950699764
RAB15,1.5737141334939266,1.674625687139161e-05,0.0007656084104038916
CD44,1.008980944707739,0.00485190769628782,0.03178119935800439
KNTC1,1.5538652818273595,0.00015896298441178553,0.0027928288725524845
HMGB3,1.2062554513195585,0.00019336621599997728,0.003180301985582181
BUB1B,1.8178839210876987,9.276124119396805e-07,0.0002014072739492583
DUSP4,1.880842552469467,0.0012191176334305491,0.011452044656929736
OVGP1,1.2537089934476713,0.0006915316304240783,0.007710541167526761
SORD,1.2541158955933769,0.0022125436473517494,0.017725529872827862
MKI67,1.2752941337124033,0.00016054400176770134,0.002801957214322576
NR2C1.1,1.0144127643938048,0.0013871820523899399,0.012580141362540303
TIMELESS,1.6970268360387366,6.796598632179245e-05,0.0016199838590785698
GJB5,1.1647271132050694,0.00216641796662075,0.01747533025939534
DDX21,1.6144756890879133,9.522001026720022e-05,0.0020148859487201746
OSBPL3,1.1232791986768516,2.505985190754941e-05,0.0009143667368522397
BUB1,2.2536813410901027,7.439544641730018e-07,0.00019159549237079818
CSTF3,1.0359439155778971,0.004062677886614778,0.027747616950042332
PLK1,1.0131140621502794,6.640877489712386e-05,0.0016009366532847738
CYP4F3,2.461347108989168,0.0007940419914635894,0.008486122862210567
PLCB4,1.2535866407338736,0.0027099152580329212,0.020645018188722667
CASP2,1.4420587996128318,0.0009061867089920175,0.009280723045826104
TRIM28,1.0218642987924293,0.0019428764157668223,0.0160522942676697
CLNS1A,1.0225080311062338,0.002457317335102076,0.019177245928560842
HPRT1,1.2572402631723356,0.0003048805925968226,0.0043037890069917775
ACSL6.1,2.165047086605806,8.315693673759797e-05,0.0018485349368679935
TAF4,1.1726883568102167,0.003314081372654629,0.023756541217827717
DIO2,2.0628685633233763,0.0002586351367654337,0.0038463780409946674
CDCA3,2.3140377320857732,1.290559085339073e-06,0.0002262089035904472
PRDX4,1.1400163925114466,0.0006502111012163142,0.00739028957776433
IRAK1,1.3450865665096672,0.0023759598333199412,0.018652910057723085
LRRC6,1.2175637102368118,0.0004814336256580905,0.005931689210412809
COL9A3,1.8219604541666354,0.0016519374167707362,0.014262310057616828
NMU,2.671736775384433,0.00018778163759538457,0.0031422920940882178
POLQ,1.9411616485194383,6.858542684040363e-06,0.0005014939558402619
CYP27B1,1.3350507974682169,3.1448928084038116e-05,0.0010076279534032488
CCNE2.1,1.2628597219856146,0.003629144025133081,0.025411227958474933
GRB7,1.2241237200432598,1.8618276667178317e-05,0.0007991478997103083
SLC28A3,1.1830349833088203,0.0003952782354720142,0.005108620426375762
SLC5A6,2.2805646218816213,0.0002844839604211378,0.00410711815086699
EPHB3,2.180586818934488,2.8014366482611158e-05,0.0009497394731045844
BMP7,2.3807545638214007,0.0006308563546250243,0.00721691467874933
CDC7,1.329806220535775,0.0005115775866260752,0.0061946648362210185
MMP10,3.870390725938929,4.432556231552429e-05,0.0012252188808628823
STX16,1.1758482737075202,0.008226665747676117,0.04698412869143312
CPNE7,1.1492677044885753,0.002754193866363165,0.020921966212178893
ESPL1,1.31621367022925,2.2521827601542388e-05,0.0008675036560603569
POLR1D,1.0770838966448795,0.0012511917097151259,0.011650205699190489
GTPBP4,1.3130597629836969,0.00223049734511478,0.017788384793857224
SLC35A2,1.0678209692677272,0.0045386682374173445,0.03021610320268742
SLCO4A1,3.5409949822518203,2.1252072139458936e-05,0.0008373157825393541
