Gene,p_value
ZMAT1,0.006027453994922471
MRPL30,0.007389645132854987
WBP11,0.002770131335937042
WFDC10B,0.011354154307822948
MORC2,1.2975634085381898e-09
SH3RF2,0.00010895382517051189
TMF1,0.0002887234997813971
NDUFB8,0.0011590484075233783
TRIP4,0.004964881422288432
NR4A1,0.04966000009476835
CLCF1,0.007052931403637422
SHMT2,2.477078820935849e-10
HLA-DQB1,0.01766510964963821
JRK,6.916812879405175e-07
XKR4,1.179460561520167e-06
PKP4,0.0006044580517981259
SPTBN1,0.03326242754805132
SRM,5.03712337777996e-05
Septin 6,2.086749114384789e-08
IMP4,2.491806807537658e-06
CDC14B,0.042170782884436625
CDC37L1,4.3203182375723065e-07
C3orf63,8.242587822682675e-05
ATP11C,0.0035964612198934095
FLOT1,0.0004573734485092535
GRAMD2,2.1757690501739155e-06
RBM34,0.02867224538524052
DMRTC1,0.04052893423230539
PFDN6,2.0400525632099106e-07
KIAA0408,3.3067042863720653e-06
LEPROT,8.311925357371331e-10
ATP5J,1.835991434016771e-05
CD151,0.0004320453606853272
FCRL6,0.018572046560255816
FAM18B,0.0049486766848489015
C2orf42,0.016872655685787063
C1orf53,7.722071315314268e-07
FLVCR,0.002669922193030053
DDIT4,1.2242773609148692e-06
TBC1D7,1.2015503922258098e-07
ARSD,0.0018109502215213275
ZMYM2,1.9725811648843953e-08
BANK1,0.019738321946741993
SNAI3,0.0038091035180129983
SNHG4,2.408404251063081e-09
VCL,1.282830970388208e-06
THRA.1,0.011479431452029468
TFDP1,4.901512341729407e-09
VIL1,1.1642156671522955e-05
JMJD2C,0.005104511886374837
CENPJ,4.216142386451533e-06
NR3C2,1.1381761551840175e-05
MTL5,1.5685950738833757e-06
RAPGEF4,0.011338021319717605
CTF1,0.001166803379875103
TNFRSF6B.1,0.004441062922481382
ANKRD12,5.90066922777139e-10
ASPSCR1.1,2.7168380550239398e-06
CSF2,6.130196063700788e-05
ANK3.2,2.704614164342989e-05
APEX1,3.1552291118406185e-06
MEF2A,0.04775765141018453
PI15,0.008426661323165325
CYLC2,0.03904969667284958
CD163L1,0.0010715122821869773
C14orf156,1.9172580416925077e-07
METTL6,0.0007398015051225523
BTK,0.0013319586837864698
LARGE,3.683210472041935e-11
LOC116143,0.0011952085332104772
HTR3A,0.000129106962024129
SMPDL3B,0.01327617043449208
SLC25A43,1.798384321078918e-08
RCN2,7.212855231462936e-09
LOC730316,7.181309490961955e-06
MANEAL,3.3993031269344657e-06
TBC1D13,0.00023205647498807653
PTK7,0.0003862521717163158
RPL36,1.2011265855469402e-07
FGFR1OP,6.227022258764863e-07
C5orf34,2.677117505176836e-10
WNT11,0.02443264907352493
RANGAP1,1.090524690296877e-09
PAH,0.013939767003571732
DCTN2,5.887524657567523e-08
MDP-1,1.0558146837333377e-06
RABL3,0.030569132498147692
CCDC59,6.273003820839832e-09
DNAJA3,1.3833396743050115e-09
ZNF358,9.194136031818414e-06
AARS,8.764399386594527e-05
ZRANB2,0.0009058040061547142
ASPHD1,0.00031346201726196153
CTAG1B,0.0356744139060913
LRPPRC,4.872758821393049e-06
COX7A1,3.582496296288008e-07
AP2S1,0.012368432010674127
SOD1,0.0004022239535621223
FCER2,0.003323917456333464
NDUFA6,8.375962412402365e-11
C10orf35,4.7269593136502015e-05
LPPR4,0.008912175478963178
ASPHD1.1,0.04340265144483147
LOC392395,0.002237091062764112
C1GALT1,1.3425872727589282e-06
PNPLA7,1.9089291795648076e-06
PPP2R3C,2.5895060429384395e-05
TFPI,0.0016154374252155548
ITGB7,0.015527871567563654
PUS1,3.877043541308223e-12
USPL1,6.1566574174376355e-06
SEC24B,0.03230048418181728
COL4A3,0.022171754069784052
OTOP3,0.007227040186697997
ACSM3,0.0005068324053159011
EDG4,3.308020305261284e-06
GPX2,1.7121082024658753e-10
CA2,8.844465088601314e-06
MADCAM1,0.00011828964758226626
